dataset,model,neurons,precision,recall,f1,mse,best_layer,trial
callt2,SNN (A--B),100,0.16007856616744415,0.47246376811594204,0.23913442141940217,0.7902857142857143,B,88
callt2,SNN (A--B),200,0.10437199898913319,0.29927536231884055,0.1547685965898445,0.8592380952380952,B,88
callt2,SNN (A--B),400,0.08331229487503156,0.2391304347826087,0.12357236472570679,0.8916190476190476,B,88
iops,SNN (A--B),100,0.048846675712347354,0.0782608695652174,0.06015037593984962,0.6428571428571429,B,12
iops,SNN (A--B),200,0.05208870551830841,0.07318840579710145,0.06086170533293161,0.5937142857142857,B,100
iops,SNN (A--B),400,0.05392418579818473,0.07318840579710145,0.06209652628343068,0.5811428571428572,B,85
callt2,SNN (A--B--C),100,0.26285714285714284,1.0,0.416289592760181,0.7371428571428571,B,100
callt2,SNN (A--B--C),200,0.263811890651883,1.0,0.4174860081682045,0.7335238095238096,C,75
callt2,SNN (A--B--C),400,0.2641509433962264,0.9942028985507246,0.41740188621843627,0.7295238095238096,C,32
iops,SNN (A--B--C),200,0.12176938369781312,0.17753623188405798,0.14445754716981132,0.5527619047619048,B,96
iops,SNN (A--B--C),400,0.07941036614360437,0.12101449275362319,0.09589434395635946,0.5998095238095238,C,88
